date,NJ__FluTrends_inc
3/18/07,1928
3/25/07,1878
4/1/07,1283
4/8/07,1245
4/15/07,1068
4/22/07,828
4/29/07,796
5/6/07,746
5/13/07,723
5/20/07,737
5/27/07,720
6/3/07,660
6/10/07,641
6/17/07,650
6/24/07,578
7/1/07,589
7/8/07,550
7/15/07,521
7/22/07,477
7/29/07,551
8/5/07,550
8/12/07,615
8/19/07,577
8/26/07,579
9/2/07,674
9/9/07,746
9/16/07,869
9/23/07,899
9/30/07,1029
10/7/07,956
10/14/07,1099
10/21/07,1152
10/28/07,1301
11/4/07,1301
11/11/07,1479
11/18/07,1304
11/25/07,1562
12/2/07,1459
12/9/07,1519
12/16/07,1734
12/23/07,1950
12/30/07,2325
1/6/08,2237
1/13/08,2213
1/20/08,2638
1/27/08,3842
2/3/08,5150
2/10/08,5339
2/17/08,5924
2/24/08,5138
3/2/08,4068
3/9/08,2995
3/16/08,2291
3/23/08,1938
3/30/08,1648
4/6/08,1425
4/13/08,1151
4/20/08,952
4/27/08,810
5/4/08,784
5/11/08,745
5/18/08,758
5/25/08,689
6/1/08,677
6/8/08,638
6/15/08,537
6/22/08,545
6/29/08,506
7/6/08,542
7/13/08,489
7/20/08,466
7/27/08,500
8/3/08,540
8/10/08,562
8/17/08,591
8/24/08,581
8/31/08,602
9/7/08,719
9/14/08,889
9/21/08,1082
9/28/08,1148
10/5/08,1186
10/12/08,1328
10/19/08,1384
10/26/08,1384
11/2/08,1458
11/9/08,1603
11/16/08,1604
11/23/08,1389
11/30/08,1619
12/7/08,1654
12/14/08,1732
12/21/08,1592
12/28/08,2012
1/4/09,2192
1/11/09,1805
1/18/09,2091
1/25/09,2550
2/1/09,3266
2/8/09,3807
2/15/09,3630
2/22/09,3100
3/1/09,2542
3/8/09,2137
3/15/09,1748
3/22/09,1615
3/29/09,1204
4/5/09,1036
4/12/09,1012
4/19/09,978
4/26/09,3330
5/3/09,1505
5/10/09,1455
5/17/09,2080
5/24/09,2203
5/31/09,2750
6/7/09,3990
6/14/09,4301
6/21/09,3366
6/28/09,1805
7/5/09,1077
7/12/09,941
7/19/09,828
7/26/09,846
8/2/09,773
8/9/09,873
8/16/09,847
8/23/09,1049
8/30/09,1413
9/6/09,1868
9/13/09,2371
9/20/09,2913
9/27/09,3054
10/4/09,2905
10/11/09,3727
10/18/09,5583
10/25/09,7420
11/1/09,7704
11/8/09,6431
11/15/09,5012
11/22/09,3606
11/29/09,2958
12/6/09,2493
12/13/09,2238
12/20/09,2078
12/27/09,2109
1/3/10,2065
1/10/10,1985
1/17/10,1767
1/24/10,1669
1/31/10,1700
2/7/10,1586
2/14/10,1471
2/21/10,1364
2/28/10,1422
3/7/10,1310
3/14/10,1173
3/21/10,1022
3/28/10,1041
4/4/10,889
4/11/10,783
4/18/10,868
4/25/10,901
5/2/10,809
5/9/10,750
5/16/10,714
5/23/10,762
5/30/10,638
6/6/10,595
6/13/10,561
6/20/10,593
6/27/10,531
7/4/10,529
7/11/10,560
7/18/10,505
7/25/10,578
8/1/10,632
8/8/10,626
8/15/10,609
8/22/10,585
8/29/10,652
9/5/10,707
9/12/10,771
9/19/10,937
9/26/10,1046
10/3/10,1166
10/10/10,1184
10/17/10,1275
10/24/10,1215
10/31/10,1262
11/7/10,1348
11/14/10,1437
11/21/10,1303
11/28/10,1728
12/5/10,1709
12/12/10,1877
12/19/10,2321
12/26/10,2987
1/2/11,3154
1/9/11,2754
1/16/11,2946
1/23/11,3235
1/30/11,3002
2/6/11,3297
2/13/11,3230
2/20/11,2884
2/27/11,2557
3/6/11,2071
3/13/11,1670
3/20/11,1444
3/27/11,1313
4/3/11,1232
4/10/11,1065
4/17/11,838
4/24/11,732
5/1/11,653
5/8/11,701
5/15/11,675
5/22/11,717
5/29/11,618
6/5/11,649
6/12/11,555
6/19/11,507
6/26/11,446
7/3/11,385
7/10/11,476
7/17/11,422
7/24/11,446
7/31/11,421
8/7/11,497
8/14/11,396
8/21/11,431
8/28/11,448
9/4/11,613
9/11/11,742
9/18/11,993
9/25/11,1095
10/2/11,1149
10/9/11,1243
10/16/11,1099
10/23/11,1191
10/30/11,1298
11/6/11,1265
11/13/11,1485
11/20/11,1330
11/27/11,1585
12/4/11,1493
12/11/11,1667
12/18/11,2023
12/25/11,2320
1/1/12,2510
1/8/12,2136
1/15/12,2006
1/22/12,1962
1/29/12,1971
2/5/12,1716
2/12/12,1635
2/19/12,1600
2/26/12,1453
3/4/12,1514
3/11/12,1431
3/18/12,1314
3/25/12,1310
4/1/12,1365
4/8/12,1535
4/15/12,1620
4/22/12,1488
4/29/12,1432
5/6/12,1428
5/13/12,1367
5/20/12,1197
5/27/12,1081
6/3/12,1028
6/10/12,1028
6/17/12,814
6/24/12,702
7/1/12,699
7/8/12,680
7/15/12,621
7/22/12,568
7/29/12,611
8/5/12,638
8/12/12,722
8/19/12,747
8/26/12,824
9/2/12,824
9/9/12,979
9/16/12,1366
9/23/12,1645
9/30/12,1795
10/7/12,1921
10/14/12,1940
10/21/12,1737
10/28/12,1162
11/4/12,1498
11/11/12,1849
11/18/12,1869
11/25/12,2529
12/2/12,3313
12/9/12,4032
12/16/12,5092
12/23/12,8181
12/30/12,10972
1/6/13,17400
1/13/13,20896
1/20/13,13573
1/27/13,9349
2/3/13,6909
2/10/13,5290
2/17/13,4746
2/24/13,4206
3/3/13,3754
3/10/13,3518
3/17/13,2843
3/24/13,2545
3/31/13,2210
4/7/13,1801
4/14/13,1287
4/21/13,1328
4/28/13,1094
5/5/13,1091
5/12/13,1056
